cw_ts_bert_preprocessed.csvFeatures,mean_fi
cartel,2.51889499620802
slightly,2.2920333445619647
plateau,2.1950215096377526
insurgent,2.1914979016092007
allied,2.0560860073370963
kill,2.055493534771412
forced,2.0052032843893413
wounded,1.9851041498442297
immediate,1.9746499914061544
offensive,1.9301160578317655
bad,1.924118426626546
generation,1.8713516934316463
displaced,1.8700851573269535
alias,1.8625293078026697
displace,1.7954040568328058
article,1.7428153939198865
fighting,1.7273805921292642
surge,1.7027731343930976
score,1.6695481103902075
embezzlement,1.6598068437695084
humanitarian,1.6553546067697469
temple,1.6452890425705173
subject,1.6402086613749833
infiltrate,1.5964337255396848
progressive,1.589107333851611
killed,1.5596535603237094
civilian casualty,1.5530023554931398
procedure,1.544694289957364
coordinated,1.5130236483605015
elder,1.5117413349104978
fight continue,1.5043306447939766
mostly,1.4987553955723627
cast,1.4948552626226959
invasion,1.480256228091801
assume,1.478721596925426
liberation movement,1.4732389539521074
southwest,1.4602460697239956
roadside,1.4593784108363292
hotel,1.4455220403734772
assistant,1.4441411521981389
dam,1.4327624918554527
industry,1.4190570482144835
intensify,1.4181791569943838
night,1.411807148545691
get,1.4082593874048426
unilaterally,1.4062016194343248
absentia,1.4031114424119095
line control,1.3954014176293683
bombing,1.3872838810988963
passage,1.3778966698937865
behead,1.3751501587880108
across line,1.360198424001287
informal,1.3517801598078323
overturn,1.3499977619904795
estimate,1.3438205041716893
fraud,1.3431160815898862
commercial,1.3346783586739657
record,1.3345719094216015
civilian,1.3321662376218428
subsidy,1.3302436716961255
toll,1.328123095046892
suicide,1.3276624497973821
currently,1.3260044624650713
retake,1.3253495084991156
democratic front,1.3185567293884435
coastal,1.3129769723519913
declared,1.3033245364048975
achieve,1.3022022344899287
ceasefire,1.2959177300177704
sectarian,1.2914973447528943
reprisal,1.28477294971097
attack,1.2814538237102302
body,1.2792738554637855
worker party,1.2661793503726055
revolutionary,1.2619638693333075
claimed,1.2590484008010516
fight,1.254315753296701
trust,1.251902229118637
data,1.2514726664801707
partially,1.2488549730700016
heavy,1.2463308384296439
clan,1.2458360744654857
hostile,1.2454471283852633
blue,1.2389566355618065
militant continue,1.2352775358868135
deterioration,1.2346940885994813
significantly,1.2240397290514244
intercommunal,1.2180705602192972
gain,1.2154475001575633
militia,1.214470004384431
dead,1.2086386364978507
martial law,1.2079550438505318
crash,1.2062195300108016
related,1.2035877391490044
congress,1.2018686936067007
marine,1.201564469461744
hear,1.1991531023361144
particularly,1.1927524007515262
conclusion,1.1909374700012756
targeted,1.1898467065194283
attack continue,1.1833056955384802
outcry,1.1752101656956535
throughout,1.1702828360452044
struggle,1.1668150512172064
reporting,1.1653737531431771
church,1.16321849400062
coordinator,1.1543238128135316
protection,1.1528777554443388
leftist,1.1434697552465702
sharp,1.1426752258298616
publish,1.1387723042261315
revision,1.138434399836132
truck,1.1356607037899593
outlet,1.1330003767715624
contractor,1.1318354890134896
new people,1.1280636096691259
unconstitutional,1.1247467800931328
credible,1.122215195086539
quickly,1.1159538878306439
shirt,1.1141680580887952
profile,1.110536382460896
contain,1.1026508365359933
praise,1.1015131833332374
expansion,1.1009899002005292
