README.mdiso3;year;month;fatalities
AFG;2003;8;189.7
AFG;2003;9;64.3
AFG;2003;10;119.33333333333331
AFG;2003;11;38.66666666666666
AFG;2003;12;48.0
AFG;2004;1;51.0
AFG;2004;2;17.0
AFG;2004;3;34.0
AFG;2004;4;48.0
AFG;2004;5;68.0
AFG;2004;6;116.0
AFG;2004;7;77.0
AFG;2004;8;123.0
AFG;2004;9;133.0
AFG;2004;10;74.0
AFG;2004;11;41.0
AFG;2004;12;35.0
AFG;2005;1;37.0
AFG;2005;2;25.0
AFG;2005;3;38.0
AFG;2005;4;115.0
AFG;2005;5;152.0
AFG;2005;6;275.0
AFG;2005;7;225.0
AFG;2005;8;280.0
AFG;2005;9;195.0
AFG;2005;10;211.0
AFG;2005;11;74.14285714285714
AFG;2005;12;83.85714285714286
AFG;2006;1;57.0
AFG;2006;2;112.0
AFG;2006;3;192.0
AFG;2006;4;215.0
AFG;2006;5;495.0
AFG;2006;6;706.0
AFG;2006;7;570.0
AFG;2006;8;530.0
AFG;2006;9;931.0
AFG;2006;10;563.0
AFG;2006;11;340.5
AFG;2006;12;270.5
AFG;2007;1;316.2857142857143
AFG;2007;2;178.71428571428572
AFG;2007;3;361.0
AFG;2007;4;631.0
AFG;2007;5;573.0
AFG;2007;6;980.0
AFG;2007;7;860.3333333333334
AFG;2007;8;611.6666666666666
AFG;2007;9;979.0
AFG;2007;10;652.0
AFG;2007;11;545.3333333333334
AFG;2007;12;331.6666666666667
AFG;2008;1;154.0
AFG;2008;2;195.0
AFG;2008;3;302.1428571428572
AFG;2008;4;366.57142857142856
AFG;2008;5;452.2857142857143
AFG;2008;6;754.0
AFG;2008;7;652.0
AFG;2008;8;992.0
AFG;2008;9;412.0
AFG;2008;10;544.0
AFG;2008;11;544.0
AFG;2008;12;292.0
AFG;2009;1;297.1834319526627
AFG;2009;2;326.1656804733728
AFG;2009;3;452.1834319526627
AFG;2009;4;439.6775147928994
AFG;2009;5;807.3500986193294
AFG;2009;6;597.4398422090729
AFG;2009;7;787.0
AFG;2009;8;628.3333333333334
AFG;2009;9;705.6666666666666
AFG;2009;10;566.0
AFG;2009;11;527.0
AFG;2009;12;365.0
AFG;2010;1;344.0
AFG;2010;2;526.0
AFG;2010;3;417.0
AFG;2010;4;502.0
AFG;2010;5;502.0
AFG;2010;6;1002.0
AFG;2010;7;700.6
AFG;2010;8;932.4
AFG;2010;9;520.0
AFG;2010;10;766.0
AFG;2010;11;518.0
AFG;2010;12;421.0
AFG;2011;1;522.4516129032259
AFG;2011;2;451.5483870967742
AFG;2011;3;446.6666666666667
AFG;2011;4;554.3333333333334
AFG;2011;5;731.0
AFG;2011;6;751.7142857142857
AFG;2011;7;899.2857142857143
AFG;2011;8;659.0
AFG;2011;9;802.0
AFG;2011;10;676.5
AFG;2011;11;553.5
AFG;2011;12;515.0
AFG;2012;1;352.1190476190476
AFG;2012;2;228.8809523809524
AFG;2012;3;400.1666666666667
AFG;2012;4;649.8333333333334
AFG;2012;5;790.5
AFG;2012;6;992.2151515151515
AFG;2012;7;1102.9212121212122
AFG;2012;8;951.530303030303
AFG;2012;9;917.8333333333334
AFG;2012;10;678.0
AFG;2012;11;435.3333333333333
AFG;2012;12;324.6666666666667
AFG;2013;1;365.0485651214128
AFG;2013;2;436.6997792494481
AFG;2013;3;538.7152317880794
AFG;2013;4;551.8211920529801
AFG;2013;5;1040.0216834009827
AFG;2013;6;1046.1935483870968
AFG;2013;7;1157.0
AFG;2013;8;829.6666666666666
AFG;2013;9;790.4583333333334
AFG;2013;10;541.4027777777778
AFG;2013;11;483.6722222222222
AFG;2013;12;350.3
AFG;2014;1;629.5145631067961
AFG;2014;2;640.0776699029126
AFG;2014;3;713.5705794918448
AFG;2014;4;865.7944312707858
AFG;2014;5;1154.5209123131451
AFG;2014;6;1374.9610979374525
AFG;2014;7;1233.687578979812
AFG;2014;8;1476.062578979812
AFG;2014;9;1378.1638757152302
AFG;2014;10;1079.5852236290696
AFG;2014;11;864.8114886731391
AFG;2014;12;1138.25
AFG;2015;1;1139.978627671541
AFG;2015;2;1624.0359955005624
AFG;2015;3;1494.335770528684
AFG;2015;4;1472.5276506134408
AFG;2015;5;1958.9552890191053
AFG;2015;6;1491.5
AFG;2015;7;1115.6666666666667
